ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
0060512806,Cryptonomicon,Neal Stephenson,2002,Avon Books,http://images.amazon.com/images/P/0060512806.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060512806.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060512806.01.LZZZZZZZ.jpg
0446525804,Last Man Standing,David Baldacci,2001,Warner Books,http://images.amazon.com/images/P/0446525804.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446525804.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446525804.01.LZZZZZZZ.jpg
0515122491,The Maze,Catherine Coulter,1998,Jove Books,http://images.amazon.com/images/P/0515122491.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515122491.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515122491.01.LZZZZZZZ.jpg
0140265686,Out To Canaan (The Mitford Years),Jan Karon,1998,Viking Books,http://images.amazon.com/images/P/0140265686.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140265686.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140265686.01.LZZZZZZZ.jpg
0140257934,"These High, Green Hills (The Mitford Years)",Jan Karon,1997,Viking Books,http://images.amazon.com/images/P/0140257934.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140257934.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140257934.01.LZZZZZZZ.jpg
0140254544,A Light In The Window (The Mitford Years),Jan Karon,1996,Penguin Books,http://images.amazon.com/images/P/0140254544.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140254544.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140254544.01.LZZZZZZZ.jpg
0451524934,1984,George Orwell,1990,Signet Book,http://images.amazon.com/images/P/0451524934.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451524934.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451524934.01.LZZZZZZZ.jpg
0345392825,Reviving Ophelia: Saving The Selves Of Adolescent Girls (Ballantine Reader'S Circle),Mary Pipher,1995,Ballantine Books,http://images.amazon.com/images/P/0345392825.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345392825.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345392825.01.LZZZZZZZ.jpg
0345350499,The Mists Of Avalon,Marion Zimmer Bradley,1987,Del Rey,http://images.amazon.com/images/P/0345350499.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345350499.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345350499.01.LZZZZZZZ.jpg
0312976275,Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2001,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312976275.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312976275.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312976275.01.LZZZZZZZ.jpg
0767905180,Jemima J: A Novel About Ugly Ducklings And Swans,Jane Green,2001,Broadway Books,http://images.amazon.com/images/P/0767905180.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0767905180.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0767905180.01.LZZZZZZZ.jpg
059035342X,Harry Potter And The Sorcerer'S Stone (Harry Potter (Paperback)),J. K. Rowling,1999,Arthur A. Levine Books,http://images.amazon.com/images/P/059035342X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/059035342X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/059035342X.01.LZZZZZZZ.jpg
0316089699,Sea Glass: A Novel,Anita Shreve,2003,Back Bay Books,http://images.amazon.com/images/P/0316089699.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316089699.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316089699.01.LZZZZZZZ.jpg
0060936363,Portrait In Sepia : A Novel,Isabel Allende,2002,Perennial,http://images.amazon.com/images/P/0060936363.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060936363.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060936363.01.LZZZZZZZ.jpg
038082101X,Daughter Of Fortune: A Novel,Isabel Allende,2001,HarperTorch,http://images.amazon.com/images/P/038082101X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038082101X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038082101X.01.LZZZZZZZ.jpg
0671708635,Seven Habits Of Highly Effective People,Stephen R. Covey,1990,Free Press,http://images.amazon.com/images/P/0671708635.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671708635.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671708635.01.LZZZZZZZ.jpg
0553377884,Skinny Legs And All,Tom Robbins,1995,Bantam,http://images.amazon.com/images/P/0553377884.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553377884.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553377884.01.LZZZZZZZ.jpg
0425162788,Politika (Tom Clancy'S Power Plays (Paperback)),Tom Clancy,1999,Berkley Publishing Group,http://images.amazon.com/images/P/0425162788.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425162788.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425162788.01.LZZZZZZZ.jpg
0451208811,Blood Orchid,Stuart Woods,2003,Signet Book,http://images.amazon.com/images/P/0451208811.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451208811.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451208811.01.LZZZZZZZ.jpg
0345342968,Fahrenheit 451,Ray Bradbury,1987,Del Rey,http://images.amazon.com/images/P/0345342968.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg
0812550706,Ender'S Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1994,Tor Books,http://images.amazon.com/images/P/0812550706.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812550706.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812550706.01.LZZZZZZZ.jpg
0441102670,"Chapterhouse Dune (Dune Chronicles, Book 6)",Frank Herbert,1996,ACE Charter,http://images.amazon.com/images/P/0441102670.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441102670.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441102670.01.LZZZZZZZ.jpg
0345443683,"Blackwood Farm (Rice, Anne, Vampire Chronicles.)",Anne Rice,2003,Ballantine Books,http://images.amazon.com/images/P/0345443683.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345443683.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345443683.01.LZZZZZZZ.jpg
0345378482,The Andromeda Strain,Michael Crichton,1992,Ballantine Books,http://images.amazon.com/images/P/0345378482.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345378482.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345378482.01.LZZZZZZZ.jpg
0671758896,"Loves Music, Loves To Dance",Mary Higgins Clark,1992,Pocket,http://images.amazon.com/images/P/0671758896.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671758896.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671758896.01.LZZZZZZZ.jpg
0345348109,The Killer Angels,Michael Shaara,1993,Ballantine Books,http://images.amazon.com/images/P/0345348109.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345348109.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345348109.01.LZZZZZZZ.jpg
0451177096,Dolores Claiborne,Stephen King,2004,Signet Book,http://images.amazon.com/images/P/0451177096.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451177096.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451177096.01.LZZZZZZZ.jpg
0345422384,Pandora: New Tales Of The Vampires (New Tales Of The Vampires),Anne Rice,1999,Ballantine Books,http://images.amazon.com/images/P/0345422384.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345422384.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345422384.01.LZZZZZZZ.jpg
0812513738,"The Shadow Rising (The Wheel Of Time, Book 4)",Robert Jordan,1993,Tor Fantasy,http://images.amazon.com/images/P/0812513738.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812513738.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812513738.01.LZZZZZZZ.jpg
0812511816,"The Eye Of The World (The Wheel Of Time, Book 1)",Robert Jordan,1990,Tor Fantasy,http://images.amazon.com/images/P/0812511816.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812511816.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812511816.01.LZZZZZZZ.jpg
0425122123,Clear And Present Danger (Jack Ryan Novels),Tom Clancy,1996,Berkley Publishing Group,http://images.amazon.com/images/P/0425122123.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425122123.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425122123.01.LZZZZZZZ.jpg
0385484518,"Tuesdays With Morrie: An Old Man, A Young Man, And Life'S Greatest Lesson",Mitch Albom,1997,Doubleday,http://images.amazon.com/images/P/0385484518.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385484518.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385484518.01.LZZZZZZZ.jpg
0060922532,Pigs In Heaven,Barbara Kingsolver,1994,Perennial,http://images.amazon.com/images/P/0060922532.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060922532.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060922532.01.LZZZZZZZ.jpg
0440236703,Tell No One,Harlan Coben,2002,Dell Publishing Company,http://images.amazon.com/images/P/0440236703.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440236703.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440236703.01.LZZZZZZZ.jpg
1592400876,"Eats, Shoots & Leaves: The Zero Tolerance Approach To Punctuation",Lynne Truss,2004,Gotham Books,http://images.amazon.com/images/P/1592400876.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1592400876.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1592400876.01.LZZZZZZZ.jpg
0316779490,Naked,David Sedaris,1997,Little Brown & Co,http://images.amazon.com/images/P/0316779490.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316779490.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316779490.01.LZZZZZZZ.jpg
0767902513,A Walk In The Woods: Rediscovering America On The Appalachian Trail,Bill Bryson,1998,Bantam Dell Pub Group,http://images.amazon.com/images/P/0767902513.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0767902513.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0767902513.01.LZZZZZZZ.jpg
0375706410,Waiting (Vintage International),Ha Jin,2000,Vintage Books USA,http://images.amazon.com/images/P/0375706410.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375706410.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375706410.01.LZZZZZZZ.jpg
0553274503,Flowers For Algernon (Bantam Classic),Daniel Keyes,1984,Bantam,http://images.amazon.com/images/P/0553274503.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553274503.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553274503.01.LZZZZZZZ.jpg
0413537900,The Secret Diary Of Adrian Mole Aged 13 3/4,Sue Townsend,1982,Methuen Publishing Ltd,http://images.amazon.com/images/P/0413537900.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0413537900.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0413537900.01.LZZZZZZZ.jpg
0425133540,The Sum Of All Fears (Jack Ryan Novels),Tom Clancy,1996,Berkley Publishing Group,http://images.amazon.com/images/P/0425133540.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425133540.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425133540.01.LZZZZZZZ.jpg
0743469801,Why Girls Are Weird : A Novel,Pamela Ribon,2003,Downtown Press,http://images.amazon.com/images/P/0743469801.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743469801.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743469801.01.LZZZZZZZ.jpg
0671822209,Wld Accordng Garp,John Irving,1979,Pocket,http://images.amazon.com/images/P/0671822209.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671822209.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671822209.01.LZZZZZZZ.jpg
0345384350,Icebound,Dean R. Koontz,1995,Ballantine Books,http://images.amazon.com/images/P/0345384350.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345384350.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345384350.01.LZZZZZZZ.jpg
0425175405,Black Notice,Patricia Daniels Cornwell,2000,Berkley Publishing Group,http://images.amazon.com/images/P/0425175405.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425175405.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425175405.01.LZZZZZZZ.jpg
0380731851,Mystic River,Dennis Lehane,2002,HarperTorch,http://images.amazon.com/images/P/0380731851.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380731851.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380731851.01.LZZZZZZZ.jpg
0684862719,Pay It Forward: A Novel,Catherine Ryan Hyde,2000,Simon & Schuster,http://images.amazon.com/images/P/0684862719.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684862719.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684862719.01.LZZZZZZZ.jpg
0345452550,A Cold Heart: An Alex Delaware Novel,Jonathan Kellerman,2003,Ballantine Books,http://images.amazon.com/images/P/0345452550.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345452550.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345452550.01.LZZZZZZZ.jpg
0345452534,The Murder Book,Jonathan Kellerman,2002,Ballantine Books,http://images.amazon.com/images/P/0345452534.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345452534.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345452534.01.LZZZZZZZ.jpg
0316602051,The Jester,James Patterson,2003,"Little, Brown",http://images.amazon.com/images/P/0316602051.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316602051.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316602051.01.LZZZZZZZ.jpg
0446604666,Sick Puppy,Carl Hiaasen,2001,Warner Vision,http://images.amazon.com/images/P/0446604666.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446604666.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446604666.01.LZZZZZZZ.jpg
0061015725,Prey,Michael Crichton,2003,Avon Books,http://images.amazon.com/images/P/0061015725.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061015725.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061015725.01.LZZZZZZZ.jpg
0553579754,Fear Nothing,Dean Koontz,1998,Bantam,http://images.amazon.com/images/P/0553579754.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553579754.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553579754.01.LZZZZZZZ.jpg
0449221482,J Is For Judgment,Sue Grafton,1999,Fawcett Books,http://images.amazon.com/images/P/0449221482.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449221482.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449221482.01.LZZZZZZZ.jpg
0553279912,A Is For Alibi (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1987,Bantam,http://images.amazon.com/images/P/0553279912.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553279912.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553279912.01.LZZZZZZZ.jpg
0345353145,Sphere,Michael Crichton,1988,Ballantine Books,http://images.amazon.com/images/P/0345353145.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345353145.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345353145.01.LZZZZZZZ.jpg
0553348973,Still Life With Woodpecker,Tom Robbins,1990,Bantam,http://images.amazon.com/images/P/0553348973.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553348973.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553348973.01.LZZZZZZZ.jpg
0446516538,Slow Waltz In Cedar Bend,Robert James Waller,1993,Warner Books,http://images.amazon.com/images/P/0446516538.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446516538.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446516538.01.LZZZZZZZ.jpg
0440214041,The Pelican Brief,John Grisham,1993,Dell,http://images.amazon.com/images/P/0440214041.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440214041.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440214041.01.LZZZZZZZ.jpg
0679446486,Airframe,Michael Crichton,1996,Alfred A. Knopf,http://images.amazon.com/images/P/0679446486.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679446486.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679446486.01.LZZZZZZZ.jpg
0440108268,The Bridge Across Forever,Richard Bach,1986,Dell,http://images.amazon.com/images/P/0440108268.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440108268.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440108268.01.LZZZZZZZ.jpg
044020562X,One,Richard Bach,1989,Dell,http://images.amazon.com/images/P/044020562X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/044020562X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/044020562X.01.LZZZZZZZ.jpg
0140298479,Bridget Jones: The Edge Of Reason,Helen Fielding,2001,Penguin Books,http://images.amazon.com/images/P/0140298479.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140298479.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140298479.01.LZZZZZZZ.jpg
0786889020,Don'T Stand Too Close To A Naked Man,Tim Allen,1995,Hyperion,http://images.amazon.com/images/P/0786889020.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786889020.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786889020.01.LZZZZZZZ.jpg
0140386645,The Westing Game (Now In Speak!),Ellen Raskin,1997,Penguin Putnam Books for Young Readers,http://images.amazon.com/images/P/0140386645.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140386645.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140386645.01.LZZZZZZZ.jpg
0345337662,Interview With The Vampire,Anne Rice,1993,Ballantine Books,http://images.amazon.com/images/P/0345337662.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345337662.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345337662.01.LZZZZZZZ.jpg
0345351525,The Queen Of The Damned (Vampire Chronicles (Paperback)),Anne Rice,1993,Ballantine Books,http://images.amazon.com/images/P/0345351525.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345351525.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345351525.01.LZZZZZZZ.jpg
0449003787,"\O\"" Is For Outlaw""",Sue Grafton,2001,Ballantine Books,http://images.amazon.com/images/P/0449003787.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449003787.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449003787.01.LZZZZZZZ.jpg
0385265700,The Book Of Ruth (Oprah'S Book Club (Paperback)),Jane Hamilton,1990,Anchor,http://images.amazon.com/images/P/0385265700.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385265700.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385265700.01.LZZZZZZZ.jpg
1573229326,How To Be Good,Nick Hornby,2002,Riverhead Books,http://images.amazon.com/images/P/1573229326.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1573229326.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1573229326.01.LZZZZZZZ.jpg
068483376X,Succulent Wild Woman,Sark,1997,Fireside,http://images.amazon.com/images/P/068483376X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/068483376X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/068483376X.01.LZZZZZZZ.jpg
0385424736,The Rainmaker,John Grisham,1995,Doubleday Books,http://images.amazon.com/images/P/0385424736.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385424736.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385424736.01.LZZZZZZZ.jpg
0671617028,The Color Purple,Alice Walker,1985,Pocket Books,http://images.amazon.com/images/P/0671617028.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671617028.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671617028.01.LZZZZZZZ.jpg
0446605239,The Notebook,Nicholas Sparks,1998,Warner Books,http://images.amazon.com/images/P/0446605239.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446605239.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446605239.01.LZZZZZZZ.jpg
0553295977,Carnal Innocence,Nora Roberts,1992,Bantam Books,http://images.amazon.com/images/P/0553295977.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553295977.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553295977.01.LZZZZZZZ.jpg
0671016768,Bloodstream,Tess Gerritsen,1999,Pocket,http://images.amazon.com/images/P/0671016768.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671016768.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671016768.01.LZZZZZZZ.jpg
0060955775,Veronika Decides To Die,Paulo Coelho,2001,Perennial,http://images.amazon.com/images/P/0060955775.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060955775.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060955775.01.LZZZZZZZ.jpg
0743224574,A Beautiful Mind: The Life Of Mathematical Genius And Nobel Laureate John Nash,Sylvia Nasar,2001,Simon & Schuster,http://images.amazon.com/images/P/0743224574.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743224574.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743224574.01.LZZZZZZZ.jpg
0671004549,You Belong To Me,Mary Higgins Clark,1999,Pocket Books,http://images.amazon.com/images/P/0671004549.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671004549.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671004549.01.LZZZZZZZ.jpg
081297106X,Reading Lolita In Tehran: A Memoir In Books,Azar Nafisi,2003,Random House Trade Paperbacks,http://images.amazon.com/images/P/081297106X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/081297106X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/081297106X.01.LZZZZZZZ.jpg
0802139256,Peace Like A River,Leif Enger,2002,Grove Press,http://images.amazon.com/images/P/0802139256.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0802139256.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0802139256.01.LZZZZZZZ.jpg
0553565915,Embraced By The Light,Betty J. Eadie,1994,Bantam Books,http://images.amazon.com/images/P/0553565915.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553565915.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553565915.01.LZZZZZZZ.jpg
055356160X,Cry Wolf,Tami Hoag,1993,Bantam,http://images.amazon.com/images/P/055356160X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/055356160X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/055356160X.01.LZZZZZZZ.jpg
0345317580,Magic Kingdom For Sale - Sold! (Magic Kingdom Of Landover),Terry Brooks,1990,Del Rey Books,http://images.amazon.com/images/P/0345317580.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345317580.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345317580.01.LZZZZZZZ.jpg
0929634063,50 Simple Things You Can Do To Save The Earth,Earthworks Group,1989,Pub Group West,http://images.amazon.com/images/P/0929634063.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0929634063.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0929634063.01.LZZZZZZZ.jpg
0671695304,"Forever : A Novel Of Good And Evil, Love And Hope",Judy Blume,1989,Pocket,http://images.amazon.com/images/P/0671695304.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671695304.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671695304.01.LZZZZZZZ.jpg
0515134384,The Cat Who Went Up The Creek,Lilian Jackson Braun,2003,Jove Books,http://images.amazon.com/images/P/0515134384.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515134384.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515134384.01.LZZZZZZZ.jpg
0515120618,Montana Sky,Nora Roberts,2000,Jove Books,http://images.amazon.com/images/P/0515120618.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515120618.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515120618.01.LZZZZZZZ.jpg
0061032093,Breathing Room (Avon Romance),Susan Elizabeth Phillips,2003,Avon Books,http://images.amazon.com/images/P/0061032093.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061032093.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061032093.01.LZZZZZZZ.jpg
0385335830,Diary Of A Mad Bride (Summer Display Opportunity),Laura Wolf,2002,Delta,http://images.amazon.com/images/P/0385335830.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385335830.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385335830.01.LZZZZZZZ.jpg
0743262174,"Cry, The Beloved Country (Oprah'S Book Club)",Alan Paton,2003,Scribner,http://images.amazon.com/images/P/0743262174.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743262174.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743262174.01.LZZZZZZZ.jpg
0515130389,Carolina Moon,Nora Roberts,2001,Jove Books,http://images.amazon.com/images/P/0515130389.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515130389.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515130389.01.LZZZZZZZ.jpg
080411935X,Standing In The Rainbow,Fannie Flagg,2003,Ballantine Books,http://images.amazon.com/images/P/080411935X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/080411935X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/080411935X.01.LZZZZZZZ.jpg
0142004235,East Of Eden (Oprah'S Book Club),John Steinbeck,2003,Penguin Books,http://images.amazon.com/images/P/0142004235.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0142004235.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0142004235.01.LZZZZZZZ.jpg
0515135062,Three Fates,Nora Roberts,2004,Jove Books,http://images.amazon.com/images/P/0515135062.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515135062.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515135062.01.LZZZZZZZ.jpg
0743412028,Pay It Forward,Catherine Ryan Hyde,2000,Pocket,http://images.amazon.com/images/P/0743412028.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743412028.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743412028.01.LZZZZZZZ.jpg
0425169693,Here On Earth (Oprah'S Book Club),Alice Hoffman,1999,Berkley Publishing Group,http://images.amazon.com/images/P/0425169693.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425169693.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425169693.01.LZZZZZZZ.jpg
